Problem Statement,Summary
"▼🏆 Best use of zkEVM ⸺ $5,000Up to 4 teams will receive $1,250The Polygon zkEVM launched earlier this year and it has grown to hold a TVL of $50 million and continues to attract major protocols. For this challenge, we want to see your most innovative use of the Polygon zkEVM, this is an open challenge that will see the most innovative and deserving protocols with killer UX carry the day!Qualification RequirementsBe Innovative
Deploy to the zkEVM 
Note: You can deploy to Mumbai if you're project requires another service provider that's not supported on the Polygon zkEVMLinks and ResourcesDocumentationhttps://wiki.polygon.technology/docs/zkevm/↗Full Stack Demohttps://github.com/teeolendo/climatecoin/↗The ULTIMATE Developers Guide To Polygon zkEVMhttps://www.youtube.com/watch?v=pkvgS26VR8E↗","Problem Statement: The challenge is to create the most innovative use of the Polygon zkEVM (zero-knowledge Ethereum Virtual Machine).

Prize: $5,000 in total prize money, with up to 4 teams receiving $1,250 each.

Qualification Criteria:
1. Be Innovative: Participants are required to come up with novel and creative solutions using the Polygon zkEVM.
2. Deploy to the zkEVM: Submissions should include the deployment of the project to the Polygon zkEVM. Mumbai can be used if the project requires a service provider not supported by Polygon zkEVM."
"▼📈 Polygon zkEVM DeFi Challenge ⸺ $5,000Up to 4 teams will receive $1,250With the launch of the Polygon zkEVM, brand new rails were established that allow DeFi developers to get started with deploying on L2s. In this challenge, we are inviting participants to deploy a General DeFi application of any category to the Polygon zkEVM Testnet.Qualification RequirementsThe requirements are dead simple:
- Develop a DeFi application.
- Deploy the application on Polygon zkEVM Testnet / Mainnet
- Integrate an OpenZeppelin library","Problem Statement: The problem statement is to develop and deploy a General DeFi application of any category on the Polygon zkEVM Testnet.

Prize: The prize for this challenge is $5,000, with up to 4 teams receiving $1,250 each.

Qualification Criteria:
1. Develop a DeFi application.
2. Deploy the application on the Polygon zkEVM Testnet or Mainnet.
3. Integrate an OpenZeppelin library."
"▼🔨 Don’t be a Tool, use a Polygon Tool ⸺ $4,000Up to 4 teams will receive $1,000We know that building a dApp that queries blockchain data can be cumbersome. With the Chain Indexer Framework you can unlock the true potential of EVM blockchains by seamlessly integrating them into your data infrastructure. Whether you are building real-time analytics, decentralised applications, or any other data-driven solution, this framework assists you in developing robust and efficient event-driven data pipelines on EVM blockchains.
Some Sample Use-Cases:
- Wallet Services: Blockchain indexers can help wallet providers offer more features like transaction history, balance history, and real-time updates.
- dApp Backend: dApps often require real-time access to contract events, token transactions, and other on-chain activities. A data indexer can speed up this process considerably.
- Analytics and Monitoring: Firms specialising in blockchain analytics use indexers to monitor activities like fraudulent transactions, smart contract interactions, and trends in token transfers.
- Cross-Chain Services: For cross-chain swaps or interactions, indexers can offer data that facilitates more seamless integrations.
- Oracles: Data indexers can support oracles by providing them with a more efficient way to access specific data points on the blockchain.
- NFT Marketplaces: To track ownership changes, price histories, and various attributes of NFTs, data indexers are often used in the backend.Qualification RequirementsDeploy the Chain Indexer Framework and integrate it to a smart contract on Polygon zkEVM and provide links to your deployment and your deployed smart contract addresses.Links and ResourcesNpm install @maticnetwork/chain-indexer-frameworkhttps://github.com/0xPolygon/chain-indexer-framework↗Githubhttps://github.com/0xPolygon/chain-indexer-framework↗Wikihttps://wiki.polygon.technology/docs/tools/chain-indexer-framework/overview/↗","Problem Statement: Building a dApp that queries blockchain data can be cumbersome and time-consuming.

Prize: $4,000, with up to 4 teams receiving $1,000 each.

Qualification Criteria: 

1. Deploy the Chain Indexer Framework and integrate it with a smart contract on Polygon zkEVM.
2. Provide links to your deployment and deployed smart contract addresses.

Additional Resources: 
- Npm install @maticnetwork/chain-indexer-framework
- Github: https://github.com/0xPolygon/chain-indexer-framework
- Wiki: https://wiki.polygon.technology/docs/tools/chain-indexer-framework/overview/"
"▼🏗️ dApp Launchpad ⸺ $1,000Up to 2 teams will receive $500The dApp Launchpad is a dApp and smart contract development tool tailored for the Polygon blockchain networks. It provides a set of required tools and templates for accelerating and / or enhancing the development of their unique decentralised applications designed on the Polygon ecosystem. This scaffold aims to streamline the process for developers, particularly those new to the web3 space, allowing them to quickly start, understand, and modify code for their projects.
Functionalities are offered in a CLI tool to quickly initialise a fully-integrated Polygon dApp, create a development environment, and deploy everything to production.
Run `npm install: @0xpolygon/polygon-dapp-scaffold`Qualification RequirementsBuild a dApp using the dapp Scaffold tool and deploy to a provider of your choice.
Provide a link to your repo and to your deployed dAppLinks and ResourcesGithubhttps://github.com/0xPolygon/dapp-launchpad↗","Problem statement:
The problem statement is to develop a dApp Launchpad, which is a tool for dApp and smart contract development on the Polygon blockchain networks. It aims to provide developers with the required tools and templates to accelerate the development process of their decentralised applications on the Polygon ecosystem.

Prize:
The prize is $1,000. Up to 2 teams will receive $500 each.

Qualification criteria:
To qualify for the prize, participants need to build a dApp using the dapp Scaffold tool and deploy it to a provider of their choice. They also need to provide a link to their repository and the deployed dApp."
"▼🆔 Best use of Polygon ID to preserve user privacy ⸺ $5,000Up to 4 teams will receive $1,250Self-Sovereign Identity is the future. Use Polygon ID to represent identity-based information as verifiable credentials in your dapp so your users can prove access rights to dapp features without giving up their private data. Polygon ID is also excited to announce a brand new partnership with Dock.io that will allow you to securely extend the privacy of your Lens profile using Verifiable Credentials. Using Dock's REST API credentials can be issued in a few API calls. Along with issuing credentials application developers can use the API to manage issuer profiles and create and import data schemas.
Dock's tooling also supports non-developers through it's no-code solution Dock Certs which provides the same functionality via a web interface.Qualification RequirementsBuild a full stack dApp that utilizes Polygon ID to issue decentralized identifiers and verifiable credentials. Your application should cover the full lifecycle of verifiable credentials, issuance, holding using the Polygon ID wallet and verification from your dApp.Links and ResourcesPolygon ID Documentationhttps://devs.polygonid.com/↗VC Gated Full Stack Dapphttps://github.com/oceans404/fullstack-polygon-id-vc-gated-dapp/tree/main↗Dock.io Demo Apphttps://github.com/docknetwork/polygonid-demo↗How to set up a Issuer Nodehttps://www.youtube.com/watch?v=19E-jLLRUO8&feature=youtu.be↗","Problem Statement: Develop a full stack decentralized application (dApp) that utilizes Polygon ID to issue decentralized identifiers and verifiable credentials. The application should cover the entire lifecycle of verifiable credentials, including issuance, holding, and verification from the dApp.

Prize: $5,000. Up to four teams will receive $1,250 each.

Qualification Criteria: The dApp should utilize Polygon ID and follow the documentation provided. The application should demonstrate the ability to issue decentralized identifiers and verifiable credentials, as well as support the verification process. Participants can refer to the provided resources for guidance and utilize Dock.io's REST API and tooling, including Dock Certs for non-developers."
"▼🏆 Best Library / Framework ⸺ $5,000   ① $4,000        ② $1,000    This top-tier prize will be given to the best library and framework utilizing Arbitrum technology.","Problem Statement: The problem is to find the best library or framework that utilizes Arbitrum technology.

Prize: The top-tier prize for this competition is $5,000, with a breakdown of $4,000 for the winner and $1,000 for the runner-up.

Qualification Criteria: The library or framework must utilize Arbitrum technology."
"▼🏆 Best Stylus Project ⸺ $5,000   ① $4,000        ② $1,000    For this prize, we're looking for the best project utilizing Stylus! Through the power of WebAssembly smart contracts, users can deploy programs written in their favorite programming languages, including Rust, C, and C++, to run alongside Solidity contacts on Arbitrum. It’s over an order-of-magnitude cheaper and is fully interoperable with the Ethereum Virtual Machine.","Problem Statement: The problem statement is to find the best project that utilizes Stylus, a platform that allows users to deploy programs written in different programming languages alongside Solidity contracts on Arbitrum.

Prize: The prize for the best Stylus project is $5,000. The distribution of the prize is as follows: $4,000 for the first place winner and $1,000 for the second place winner.

Qualification Criteria: Participants need to create a project that utilizes Stylus and demonstrates its capabilities. The project should make use of WebAssembly smart contracts and be able to run alongside Solidity contracts on Arbitrum. The programming languages that can be used include Rust, C, and C++. The project should also be cost-effective and fully interoperable with the Ethereum Virtual Machine."
"▼🏆 🏆 Most Original ⸺ $2,500   ① $2,000        ② $500    We're looking for the most original project that is launched on Arbitrum!","Problem Statement: The challenge is to create and launch the most original project on Arbitrum.

Prize: The Most Original project will win a cash prize of $2,500.

Qualification Criteria: The project must be launched on Arbitrum."
"▼🏆 Best Technology ⸺ $2,500   ① $2,000        ② $500    This prize will be given to the best technology that is built on Arbitrum!","Problem Statement: The problem statement is not clearly mentioned in the given information.

Prize: The prize for the competition is $2,500, with a breakdown of $2,000 for the first-place winner and $500 for the second-place winner.

Qualification Criteria: The technology must be built on Arbitrum to be eligible for the prize."
"▼🏆 Pool Prize ⸺ $5,000Split evenly between all qualifying projectsThis prize is split equally amongst all qualifying submissions to Arbitrum!Qualification RequirementsSend your successful project submission that is integrated with Arbitrum.","Problem Statement: The problem is not explicitly mentioned in the statement.

Prize: The prize for this competition is $5,000, which will be split evenly among all qualifying projects that are integrated with Arbitrum.

Qualification Criteria: To qualify for the prize, participants need to submit a successful project that is integrated with Arbitrum."
